,strategy,gov_policy,day_symptoms_reporting,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
0,S1,no_TTI,1,1.4015330188679245,3.546580188679245,0.0,0.0,0.0,793.2719999999999,72.18,0.0,43.656,0.0
1,S1,no_TTI,1,1.5523576240048989,3.865278628291488,0.0,0.0,0.0,779.424,75.744,0.0,45.324,0.0
2,S1,no_TTI,2,1.6496259351620948,3.8435162094763093,0.0,0.0,0.0,782.16,73.98,0.0,42.228,0.0
3,S1,no_TTI,2,1.6483644859813085,3.9351635514018692,0.0,0.0,0.0,813.048,80.844,0.0,46.980000000000004,0.0
4,S1,no_TTI,3,2.0988816951147733,3.9894055326662743,0.0,0.0,0.0,824.016,81.336,0.0,38.544,0.0
5,S1,no_TTI,3,1.8113091579594345,3.724646588813768,0.0,0.0,0.0,821.736,72.72,0.0,37.356,0.0
6,S1,no_TTI,4,2.3117338003502628,3.7746643315820196,0.0,0.0,0.0,842.304,77.592,0.0,30.072,0.0
7,S1,no_TTI,4,2.4512946979038226,4.035758323057953,0.0,0.0,0.0,828.456,78.55199999999999,0.0,30.84,0.0
8,S1,symptom_based_TTI,1,1.4319136172765448,3.7336532693461306,0.0,0.0,89.32799999999999,776.496,74.68799999999999,0.0,46.044,0.0
9,S1,symptom_based_TTI,1,1.5249406175771971,3.6739904988123517,0.0,0.0,89.976,791.064,74.244,0.0,43.428,0.0
10,S1,symptom_based_TTI,2,1.520258367586612,3.942454492072813,594.336,102.984,89.94000000000001,2482.1040000000003,80.568,0.0,48.372,1.1280000000000001
11,S1,symptom_based_TTI,2,1.598526703499079,3.889502762430939,566.916,98.508,89.48400000000001,2329.944,76.03200000000001,0.0,43.74,1.044
12,S1,symptom_based_TTI,3,1.802391441157961,3.910006293266205,1162.176,203.964,90.384,3918.2400000000002,74.556,0.0,35.928,4.26
13,S1,symptom_based_TTI,3,1.7755474452554745,3.8570559610705595,1146.0120000000002,201.948,90.132,3921.552,76.092,0.0,36.864,4.2
14,S1,symptom_based_TTI,4,1.967569382091518,4.0215182307232515,1725.816,291.6,89.208,5697.864,80.73599999999999,0.0,31.704,9.531077085130635
15,S1,symptom_based_TTI,4,1.9171712935506562,3.8227997637330184,1733.52,309.444,89.928,5641.824,77.664,0.0,29.352,9.362748000224828
16,S1,test_based_TTI,1,1.6171224732461356,3.9500594530321047,0.0,0.0,89.892,803.28,79.728,0.0,47.088,0.0
17,S1,test_based_TTI,1,1.5042348955392433,3.875211744776962,0.0,0.0,89.304,806.424,82.35600000000001,0.0,50.388,0.0
18,S1,test_based_TTI,2,1.6219898042446184,4.011911852293031,66.708,10.716000000000001,89.94000000000001,1581.7199999999998,80.832,0.0,46.968,1.184149424079393
19,S1,test_based_TTI,2,1.6608553821559087,3.9603365384615383,60.828,10.452,89.28,1504.3439999999998,79.08,0.0,44.868,1.0480397291107901
20,S1,test_based_TTI,3,1.734954435567255,4.071596244131455,137.46,21.96,89.904,2423.8559999999998,83.256,0.0,42.839999999999996,4.939651701520725
21,S1,test_based_TTI,3,1.676527742405659,3.7080597014925374,116.22,21.336000000000002,90.3,2201.304,74.532,0.0,36.696000000000005,4.137792377646215
22,S1,test_based_TTI,4,2.0532130456452227,3.948973607038123,197.16,30.54,89.28,3145.368,80.796,0.0,29.88,8.907261086098615
23,S1,test_based_TTI,4,1.927431410004284,4.002355712603062,206.628,34.332,89.83200000000001,3251.856,81.55199999999999,0.0,32.952,9.326657589752589
24,S1,test_based_TTI_test_contacts,1,1.4333135743924126,3.811499703615886,0.0,0.0,90.132,806.4,77.16,0.0,48.144,0.0
25,S1,test_based_TTI_test_contacts,1,1.5239503252513307,3.770549970431697,0.0,0.0,88.476,761.2800000000001,76.512,0.0,45.588,0.0
26,S1,test_based_TTI_test_contacts,2,1.4920793842806523,3.709483793517407,60.24,9.948,140.052,898.7040000000001,74.16,0.0,43.284000000000006,1.0463489494612048
27,S1,test_based_TTI_test_contacts,2,1.4121082082890952,3.6797583081570995,62.687999999999995,9.0,140.28,885.36,73.08,0.0,43.896,1.1395309833785632
28,S1,test_based_TTI_test_contacts,3,1.7162144486889268,3.6664736537348004,116.83200000000001,20.496000000000002,183.612,1028.0639999999999,75.984,0.0,36.66,3.7571717653706163
29,S1,test_based_TTI_test_contacts,3,1.726977924949093,3.8487446417636253,124.26,18.024,190.908,1008.216,75.41999999999999,0.0,37.2,4.3781405826975535
30,S1,test_based_TTI_test_contacts,4,2.02663909693368,3.8593939393939394,177.612,31.14,234.324,1124.448,76.416,0.0,28.823999999999998,7.464545880713059
31,S1,test_based_TTI_test_contacts,4,2.1019548879094248,4.191051995163241,194.256,31.163999999999998,246.312,1152.456,83.184,0.0,32.232,9.232399384773686
32,S2,no_TTI,1,1.2560975609756098,3.5865853658536584,0.0,0.0,0.0,771.408,70.58399999999999,9.228,36.636,0.0
33,S2,no_TTI,1,1.346788990825688,3.637308868501529,0.0,0.0,0.0,772.392,71.364,9.876,35.064,0.0
34,S2,no_TTI,2,1.358433734939759,3.7066265060240964,0.0,0.0,0.0,809.4,73.836,8.388,38.388000000000005,0.0
35,S2,no_TTI,2,1.3991912189485847,3.5956094742923166,0.0,0.0,0.0,800.16,74.68799999999999,8.388,37.236000000000004,0.0
36,S2,no_TTI,3,1.6838747099767981,3.9164733178654294,0.0,0.0,0.0,811.704,81.024,9.612,36.576,0.0
37,S2,no_TTI,3,1.6165327210103329,3.838691159586682,0.0,0.0,0.0,845.616,80.244,10.272,36.18,0.0
38,S2,no_TTI,4,2.1631901840490797,3.9828220858895707,0.0,0.0,0.0,811.656,77.904,9.036000000000001,26.556,0.0
39,S2,no_TTI,4,1.9223638470451911,3.5990730011587484,0.0,0.0,0.0,833.16,74.544,7.943999999999999,26.784000000000002,0.0
40,S2,symptom_based_TTI,1,1.3094521372667067,3.9145093317278747,0.0,0.0,89.916,791.496,78.024,12.504,39.42,0.0
41,S2,symptom_based_TTI,1,1.387059503177354,3.8076256499133447,0.0,0.0,89.868,798.024,79.092,9.096,41.184,0.0
42,S2,symptom_based_TTI,2,1.413633737723859,3.8076256499133447,544.044,84.26400000000001,89.868,2308.1040000000003,79.092,9.096,39.384,1.248
43,S2,symptom_based_TTI,2,1.4370546318289785,4.081947743467934,547.404,85.032,89.43599999999999,2349.024,82.488,11.196,41.147999999999996,1.104
44,S2,symptom_based_TTI,3,1.6800242865816637,4.014571948998179,1116.78,169.632,89.88,3679.584,79.344,11.292,30.875999999999998,3.9719999999999995
45,S2,symptom_based_TTI,3,1.5405727923627686,3.8788782816229115,1100.532,168.97199999999998,89.48400000000001,3781.992,78.012,9.3,33.024,4.704
46,S2,symptom_based_TTI,4,1.5673058288409567,3.8835365853658534,1599.984,242.89199999999997,89.988,5265.696,76.428,9.504000000000001,27.252,8.827421288409964
47,S2,symptom_based_TTI,4,1.638507185533638,3.996228786926461,1623.792,252.348,90.552,5247.599999999999,76.296,10.668000000000001,26.195999999999998,8.149620813791774
48,S2,test_based_TTI,1,1.392018779342723,3.8996478873239435,0.0,0.0,90.31200000000001,801.792,79.74,9.395999999999999,41.879999999999995,0.0
49,S2,test_based_TTI,1,1.280701754385965,3.88021778584392,0.0,0.0,90.084,795.768,76.96799999999999,10.74,40.824,0.0
50,S2,test_based_TTI,2,1.3929431889399015,3.7644675925925926,56.879999999999995,9.312000000000001,89.148,1454.52,78.06,11.304,36.983999999999995,0.8879300341421872
51,S2,test_based_TTI,2,1.3229712018823199,3.9379939209726444,60.047999999999995,9.204,90.56400000000001,1491.816,77.736,10.392,40.308,0.9205484748430163
52,S2,test_based_TTI,3,1.4564121470751683,3.8959608323133414,124.45199999999998,19.631999999999998,90.096,2267.112,76.39200000000001,8.004,35.58,4.250670620150079
53,S2,test_based_TTI,3,1.6180439387023882,4.019584569732937,115.38,17.688,89.076,2129.784,81.276,11.52,33.192,3.847151559437701
54,S2,test_based_TTI,4,1.7394569151985508,4.034117647058824,192.756,33.696,89.84400000000001,3082.056,82.29599999999999,8.927999999999999,29.58,8.303078929949512
55,S2,test_based_TTI,4,1.706406933722163,3.968053044002411,174.372,29.184,89.544,2849.208,78.996,11.016,26.268,7.740850763459114
56,S2,test_based_TTI_test_contacts,1,1.297872340425532,3.732165206508135,0.0,0.0,90.276,772.656,71.56800000000001,8.508000000000001,38.172,0.0
57,S2,test_based_TTI_test_contacts,1,1.2221542227662179,3.8206854345165238,0.0,0.0,90.16799999999999,785.232,74.916,10.74,40.212,0.0
58,S2,test_based_TTI_test_contacts,2,1.4030936108346368,3.8438061041292637,58.728,8.688,136.74,879.1679999999999,77.076,10.212,37.644,1.0851669155438461
59,S2,test_based_TTI_test_contacts,2,1.321232429156793,3.6378146101903006,55.248,7.296,134.748,866.736,71.112,8.436,35.928,0.9205484748430173
60,S2,test_based_TTI_test_contacts,3,1.4340834921041872,3.9510155316606927,123.084,22.464000000000002,189.228,1016.2320000000001,79.368,11.988,34.44,4.1321308106111
61,S2,test_based_TTI_test_contacts,3,1.6083199790040128,3.9097651421508033,104.676,17.16,173.976,957.792,75.912,10.644,30.432,3.6088592876580496
62,S2,test_based_TTI_test_contacts,4,1.6031015609954151,3.9619631901840493,194.65200000000002,30.744,243.59999999999997,1149.528,77.49600000000001,10.272,27.432,8.435333466929665
63,S2,test_based_TTI_test_contacts,4,1.7350655800073052,3.8083086053412463,168.3,23.94,224.148,1099.584,77.004,9.708,25.032,7.180973972252195
64,S3,no_TTI,1,1.0534979423868314,3.880070546737213,0.0,0.0,0.0,797.328,79.2,24.264,33.432,0.0
65,S3,no_TTI,1,1.026108075288403,3.782027929568913,0.0,0.0,0.0,794.784,74.748,22.116,32.352000000000004,0.0
66,S3,no_TTI,2,1.1317966903073287,3.9013002364066196,0.0,0.0,0.0,788.3520000000001,79.212,24.156000000000002,32.076,0.0
67,S3,no_TTI,2,1.2234169653524491,3.949820788530466,0.0,0.0,0.0,787.272,79.344,22.535999999999998,32.232,0.0
68,S3,no_TTI,3,1.329940119760479,3.8359281437125747,0.0,0.0,0.0,819.504,76.872,25.392000000000003,24.828,0.0
69,S3,no_TTI,3,1.3528399311531842,3.9139414802065406,0.0,0.0,0.0,832.7520000000001,81.864,24.276,29.292,0.0
70,S3,no_TTI,4,1.7489514679448772,3.9544637507489515,0.0,0.0,0.0,816.504,79.2,22.368000000000002,21.804,0.0
71,S3,no_TTI,4,1.6313584679832436,3.8545780969479355,0.0,0.0,0.0,836.88,77.292,22.488,22.092000000000002,0.0
72,S3,symptom_based_TTI,1,0.9783393501805054,3.770758122743682,0.0,0.0,89.32799999999999,787.1999999999999,75.20400000000001,22.644000000000002,33.047999999999995,0.0
73,S3,symptom_based_TTI,1,1.0816953316953317,3.89987714987715,0.0,0.0,89.49600000000001,766.8,76.188,24.072,30.983999999999998,0.0
74,S3,symptom_based_TTI,2,1.1319228375855632,3.9327940261356567,437.676,63.32399999999999,89.532,1928.6639999999998,75.84,24.360000000000003,28.872,0.7799999999999999
75,S3,symptom_based_TTI,2,1.1296187683284458,3.8211143695014664,441.47999999999996,65.268,89.916,1973.28,78.17999999999999,24.419999999999998,29.892,0.756
76,S3,symptom_based_TTI,3,1.0888369374634717,3.680303915838691,886.572,122.06400000000001,89.664,3242.424,75.56400000000001,21.936,27.528,3.7439999999999998
77,S3,symptom_based_TTI,3,1.1650029359953025,3.8696418085731064,877.548,127.992,88.524,3251.4480000000003,79.08,23.556,27.624,4.092
78,S3,symptom_based_TTI,4,1.2563455277636846,3.60519801980198,1321.896,195.984,89.43599999999999,4205.639999999999,69.912,21.06,18.396,6.092947525606645
79,S3,symptom_based_TTI,4,1.2155062859355212,3.7975975975975977,1312.044,192.444,89.664,4368.6,75.87599999999999,23.64,21.072,6.8781844070083045
80,S3,test_based_TTI,1,1.1037974683544305,3.8044303797468353,0.0,0.0,90.096,757.344,72.13199999999999,20.892,30.311999999999998,0.0
81,S3,test_based_TTI,1,1.0429371499688862,3.8288736776602366,0.0,0.0,91.38,794.5680000000001,73.836,22.176,31.548000000000002,0.0
82,S3,test_based_TTI,2,1.1085470683108638,3.7954412624196374,49.14,7.74,89.48400000000001,1361.136,77.928,23.28,31.080000000000002,0.8073115934413574
83,S3,test_based_TTI,2,0.9957152718519675,3.7637203928365106,51.516000000000005,7.524000000000001,89.80799999999999,1365.84,78.17999999999999,24.528,32.256,0.7130023730909423
84,S3,test_based_TTI,3,1.155704833385814,3.908059701492537,94.368,10.86,89.544,1876.464,78.55199999999999,26.004,26.16,3.1583328489451916
85,S3,test_based_TTI,3,1.112337050669374,3.8787507654623394,93.648,12.972,90.924,1882.656,76.008,24.456,26.471999999999998,3.2826431550829915
86,S3,test_based_TTI,4,1.290678995024881,3.7550415183867143,144.168,18.084,89.664,2494.224,75.972,23.424000000000003,20.712,5.722982572656633
87,S3,test_based_TTI,4,1.3056493875440423,4.229598051157126,152.47199999999998,17.616000000000003,89.4,2557.152,83.34,27.912,23.244,6.457484467832213
88,S3,test_based_TTI_test_contacts,1,1.0532229450029569,3.8202247191011236,0.0,0.0,88.716,769.584,77.52,23.004,33.144,0.0
89,S3,test_based_TTI_test_contacts,1,1.1125748502994013,3.816766467065868,0.0,0.0,88.812,766.848,76.488,22.98,31.212,0.0
90,S3,test_based_TTI_test_contacts,2,0.9749065830354806,3.7971445568114217,49.308,7.223999999999999,129.26399999999998,863.736,76.596,25.284,30.875999999999998,0.7701844070083008
91,S3,test_based_TTI_test_contacts,2,1.2187532677055586,4.026592455163883,45.528,5.376,125.748,853.104,78.132,24.312,29.328,0.8433115934413571
92,S3,test_based_TTI_test_contacts,3,1.1010270275347134,3.998794454490657,103.284,14.388000000000002,171.408,1001.8319999999999,79.608,24.912,29.208000000000002,3.568753935838978
93,S3,test_based_TTI_test_contacts,3,1.1888830773307697,3.935921133703019,90.21600000000001,15.348000000000003,161.304,972.072,76.656,24.528,25.656,3.317313185905973
94,S3,test_based_TTI_test_contacts,4,1.2968299038645654,3.825445605408728,130.704,18.084,192.096,1029.816,74.68799999999999,23.856,20.003999999999998,5.508692956948273
95,S3,test_based_TTI_test_contacts,4,1.3758954341094325,3.8789013732833957,134.328,21.323999999999998,196.12800000000001,1033.344,74.568,21.672,20.628,5.817786174680301
96,S4,no_TTI,1,0.7244047619047619,3.855952380952381,0.0,0.0,0.0,803.376,77.736,37.884,25.248,0.0
97,S4,no_TTI,1,0.7312646370023419,3.760538641686183,0.0,0.0,0.0,774.1679999999999,77.076,39.24,22.848000000000003,0.0
98,S4,no_TTI,2,0.8162393162393162,3.8913308913308913,0.0,0.0,0.0,793.6080000000001,76.488,38.628,21.816,0.0
99,S4,no_TTI,2,0.8774307601649971,3.710076605774897,0.0,0.0,0.0,776.328,75.552,36.468,21.216,0.0
100,S4,no_TTI,3,1.0018796992481203,3.9818295739348373,0.0,0.0,0.0,785.472,76.25999999999999,37.488,19.584000000000003,0.0
101,S4,no_TTI,3,0.9782082324455206,3.7179176755447942,0.0,0.0,0.0,798.7679999999999,73.704,33.084,21.228,0.0
102,S4,no_TTI,4,1.1811955168119552,3.9140722291407224,0.0,0.0,0.0,817.488,75.432,34.62,18.048000000000002,0.0
103,S4,no_TTI,4,1.2126182965299686,3.9097791798107258,0.0,0.0,0.0,830.904,74.364,35.844,15.456,0.0
104,S4,symptom_based_TTI,1,0.8201834862385321,3.7889908256880735,0.0,0.0,89.03999999999999,785.3760000000001,74.34,34.908,23.34,0.0
105,S4,symptom_based_TTI,1,0.8335246842709529,3.809414466130884,0.0,0.0,88.584,780.336,79.63199999999999,39.096,23.112,0.0
106,S4,symptom_based_TTI,2,0.8004764740917213,4.075640262060751,304.368,43.104,88.95599999999999,1617.288,82.116,41.556,23.951999999999998,0.48
107,S4,symptom_based_TTI,2,0.7662576687116565,3.907361963190184,316.512,41.916,89.964,1636.152,76.428,37.236000000000004,23.508,0.696
108,S4,symptom_based_TTI,3,0.8679245283018868,3.994103773584906,612.996,85.608,89.22,2471.088,81.288,40.896,20.592,2.136
109,S4,symptom_based_TTI,3,0.7591153616258218,3.8218768679019726,621.852,87.372,89.84400000000001,2584.104,76.728,36.144000000000005,22.008000000000003,3.336
110,S4,symptom_based_TTI,4,0.9702339726451337,3.9484291641967992,911.6759999999999,127.42800000000001,88.944,3298.4880000000003,79.932,39.372,15.984000000000002,4.934583457771927
111,S4,symptom_based_TTI,4,0.8712017721389885,3.8158866995073892,944.8199999999999,134.784,89.80799999999999,3340.68,74.364,36.312,16.523999999999997,4.550019864555398
112,S4,test_based_TTI,1,0.7215422276621787,3.609547123623011,0.0,0.0,88.728,775.6800000000001,70.776,34.272000000000006,22.355999999999998,0.0
113,S4,test_based_TTI,1,0.8099630996309963,3.823493234932349,0.0,0.0,89.748,796.1999999999999,74.604,35.76,23.04,0.0
114,S4,test_based_TTI,2,0.8506983132913845,3.8310115081768625,30.048000000000002,4.055999999999999,89.016,1123.248,75.89999999999999,37.272,21.323999999999998,0.44996501707109354
115,S4,test_based_TTI,2,0.8103894065206718,3.8219178082191783,32.22,4.224,89.616,1164.624,77.004,37.896,22.331999999999997,0.44827423742150846
116,S4,test_based_TTI,3,0.8901151436571361,3.8258391386953767,62.052,7.86,90.20400000000001,1506.6,72.49199999999999,34.739999999999995,18.648,2.238098257984615
117,S4,test_based_TTI,3,0.8478792009503635,3.792575132586918,63.32399999999999,8.964,89.508,1547.448,77.232,38.903999999999996,18.924,2.1377879518468172
118,S4,test_based_TTI,4,0.9925549410082116,3.9087759815242493,103.872,12.828,89.184,2034.48,81.24000000000001,39.083999999999996,17.112000000000002,4.414738106085371
119,S4,test_based_TTI,4,0.8470144586091581,3.7316625916870416,96.276,14.64,89.268,1929.888,73.26,36.468,16.343999999999998,3.8194121485850396
120,S4,test_based_TTI_test_contacts,1,0.7956337174044875,3.8653729533050334,0.0,0.0,90.252,777.5039999999999,76.488,36.936,23.808,0.0
121,S4,test_based_TTI_test_contacts,1,0.7491186839012925,4.065217391304348,0.0,0.0,88.884,804.024,83.02799999999999,42.36,25.368000000000002,0.0
122,S4,test_based_TTI_test_contacts,2,0.7443105888952151,3.9718394248052724,35.099999999999994,4.992,117.552,854.76,79.548,39.300000000000004,24.636000000000003,0.7049475256066403
123,S4,test_based_TTI_test_contacts,2,0.8911805517228806,3.7993039443155454,35.82,4.0200000000000005,118.2,852.072,78.60000000000001,34.584,24.924,0.6552567459570554
124,S4,test_based_TTI_test_contacts,3,0.8819217228272802,3.7072872014696876,61.967999999999996,8.52,138.98399999999998,903.3599999999999,72.64800000000001,34.128,19.02,2.217861919476648
125,S4,test_based_TTI_test_contacts,3,0.8921966325684416,3.7850746268656716,62.903999999999996,10.404,138.576,892.728,76.08,36.611999999999995,19.188,2.3468476853743456
126,S4,test_based_TTI_test_contacts,4,0.9781088535009079,3.7338470657972733,97.27199999999999,12.239999999999998,164.76,994.0319999999999,75.58800000000001,35.424,16.308,4.055164369727651
127,S4,test_based_TTI_test_contacts,4,0.9457468575295164,3.7225923682616595,96.92399999999999,14.556000000000001,165.996,1000.9440000000001,73.75200000000001,34.98,15.911999999999999,4.122863258625255
128,S5,no_TTI,1,0.5373725934314836,3.9144960362400907,0.0,0.0,0.0,822.144,82.956,51.108,20.46,0.0
129,S5,no_TTI,1,0.5741360089186176,4.029542920847269,0.0,0.0,0.0,799.848,86.748,57.384,17.003999999999998,0.0
130,S5,no_TTI,2,0.59245960502693,4.028126870137642,0.0,0.0,0.0,792.384,80.772,53.903999999999996,14.988,0.0
131,S5,no_TTI,2,0.6149764150943396,4.12558962264151,0.0,0.0,0.0,806.784,83.964,55.080000000000005,16.368,0.0
132,S5,no_TTI,3,0.7009512485136742,3.785374554102259,0.0,0.0,0.0,813.552,76.40400000000001,47.244,15.011999999999999,0.0
133,S5,no_TTI,3,0.6964607078584283,4.019796040791841,0.0,0.0,0.0,814.536,80.412,50.916000000000004,15.564000000000002,0.0
134,S5,no_TTI,4,0.7647398843930636,3.9722543352601156,0.0,0.0,0.0,834.6,82.464,55.356,11.232000000000001,0.0
135,S5,no_TTI,4,0.7282338308457711,3.9502487562189055,0.0,0.0,0.0,840.0,76.224,49.788,12.384,0.0
136,S5,symptom_based_TTI,1,0.5483293556085919,3.903341288782816,0.0,0.0,89.316,792.0,78.504,50.568,16.908,0.0
137,S5,symptom_based_TTI,1,0.5166858457997698,4.043728423475259,0.0,0.0,89.46000000000001,834.768,84.336,54.480000000000004,19.080000000000002,0.0
138,S5,symptom_based_TTI,2,0.5135635018495684,3.474722564734895,159.9,24.348,90.72,1202.6879999999999,67.632,42.756,14.592,0.288
139,S5,symptom_based_TTI,2,0.5465657741559954,3.823632130384168,158.688,23.796,89.004,1237.704,78.828,51.828,15.431999999999999,0.3
140,S5,symptom_based_TTI,3,0.6031553398058253,3.950242718446602,352.08000000000004,54.204,90.252,1736.136,78.12,51.048,13.584,1.5599999999999998
141,S5,symptom_based_TTI,3,0.6483323581041545,4.056758338209479,332.676,50.76,89.628,1738.008,83.196,53.844,14.532,1.524
142,S5,symptom_based_TTI,4,0.6506709443053911,3.95,517.956,68.17200000000001,90.05999999999999,2137.2,79.63199999999999,53.088,11.052,2.3744737628033197
143,S5,symptom_based_TTI,4,0.7057829493528641,3.949700598802395,500.25600000000003,72.828,89.58000000000001,2176.1279999999997,79.152,51.384,11.495999999999999,2.128109694968603
144,S5,test_based_TTI,1,0.5672444710101614,3.7752540346682606,0.0,0.0,89.41199999999999,805.9680000000001,75.792,46.464,17.939999999999998,0.0
145,S5,test_based_TTI,1,0.539838337182448,3.8914549653579678,0.0,0.0,89.28,789.9839999999999,80.88000000000001,52.812,16.848,0.0
146,S5,test_based_TTI,2,0.5082548554295894,3.7029411764705884,17.34,2.496,88.96799999999999,978.096,75.53999999999999,49.764,15.120000000000001,0.28760094923637675
147,S5,test_based_TTI,2,0.6000832767648221,3.790794979079498,17.664,2.688,88.656,998.9039999999999,76.104,48.576,15.204,0.2767281356694335
148,S5,test_based_TTI,3,0.6278843167134753,3.96,28.764,3.5999999999999996,89.82000000000001,1181.328,79.596,52.908,12.876000000000001,1.1915252340591547
149,S5,test_based_TTI,3,0.5970073430790566,3.926550270921132,36.684000000000005,5.196,89.712,1214.28,78.264,50.388,14.796000000000001,1.180449637748249
150,S5,test_based_TTI,4,0.7010591617092006,4.035502958579881,63.54,10.932,89.79599999999999,1556.7359999999999,81.84,52.044,13.008,2.5705202005374286
151,S5,test_based_TTI,4,0.6496153558413221,3.940364092906466,58.488,7.056,89.676,1505.376,75.324,47.580000000000005,12.672,2.653952857737302
152,S5,test_based_TTI_test_contacts,1,0.5724381625441696,3.7673733804475855,0.0,0.0,88.872,805.272,76.76400000000001,48.768,16.332,0.0
153,S5,test_based_TTI_test_contacts,1,0.5955124317768344,3.976349302607641,0.0,0.0,89.68799999999999,811.8,78.684,49.199999999999996,17.7,0.0
154,S5,test_based_TTI_test_contacts,2,0.5821486232567298,3.9529201430274137,16.692,1.8719999999999999,102.336,820.536,79.596,52.343999999999994,15.264000000000001,0.26585532210249013
155,S5,test_based_TTI_test_contacts,2,0.5790253789381559,4.020551967116853,18.252000000000002,2.136,104.724,829.8,82.164,53.616,16.416,0.2990373560198484
156,S5,test_based_TTI_test_contacts,3,0.6275875327231123,4.122141997593261,34.644,5.556,117.18,864.48,82.212,54.275999999999996,14.268,1.151394247370255
157,S5,test_based_TTI_test_contacts,3,0.6360731537898097,3.8724035608308607,35.988,4.452,118.068,865.752,78.3,50.436,13.74,1.2626008303700593
158,S5,test_based_TTI_test_contacts,4,0.7215612507294347,3.7765500306936772,48.827999999999996,5.964,127.968,882.36,73.824,46.775999999999996,10.836,2.106920670741028
159,S5,test_based_TTI_test_contacts,4,0.6375869365903887,3.67953216374269,56.94,7.0440000000000005,133.98000000000002,962.5919999999999,75.50399999999999,46.812,12.588,3.0207160611652464
