,strategy,gov_policy,other_sar,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
0,S1,no_TTI,0.1,3.091747497823418,5.35588056063376,0.0,0.0,0.0,800.0160000000001,105.468,0.0,44.58530827286127,-1.0658141036401503e-17
1,S1,no_TTI,0.1,3.375322750623309,5.523276370064821,0.0,0.0,0.0,812.184,112.476,0.0,43.74092750630694,-1.865174681370263e-17
2,S1,no_TTI,0.2,4.4748007033049095,7.507125890736342,0.0,0.0,0.0,832.56,151.704,0.0,61.27722738761442,5.595524044110789e-17
3,S1,no_TTI,0.2,4.947630039706708,7.924324324324324,0.0,0.0,0.0,836.352,158.32799999999997,0.0,59.47435180665999,-1.6786572132332367e-16
4,S1,no_TTI,0.3,6.102889622674645,9.937350835322196,0.0,0.0,0.0,832.224,199.85999999999999,0.0,77.11868390876757,3.3306690738754695e-17
5,S1,no_TTI,0.3,6.318708255712603,10.592414208308249,0.0,0.0,0.0,827.88,211.12800000000001,0.0,85.18350704713642,-3.3306690738754695e-17
6,S1,no_TTI,0.4,7.98148593456073,12.9700488997555,0.0,0.0,0.0,813.8639999999999,254.62800000000001,0.0,97.93546813270376,2.1316282072803006e-17
7,S1,no_TTI,0.4,8.472503985295406,13.532004830917874,0.0,0.0,0.0,816.576,268.908,0.0,100.54240080420972,2.1449508835758024e-16
8,S1,no_TTI,0.5,9.993424465793373,16.287266143633072,0.0,0.0,0.0,815.088,323.856,0.0,125.14674792216461,-5.995204332975844e-17
9,S1,no_TTI,0.5,8.858723699517066,14.100784550392275,0.0,0.0,0.0,802.4639999999999,280.38,0.0,104.23313795880266,-3.9968028886505634e-17
10,S1,symptom_based_TTI,0.1,2.9155346979068257,5.54422964264792,1790.028,319.81199999999995,88.836,5862.9839999999995,113.568,0.0,42.97620653943266,10.869980708643906
11,S1,symptom_based_TTI,0.1,2.606829555433709,4.961538461538462,1774.824,302.928,90.16799999999999,5703.168000000001,97.524,0.0,37.10940933920917,9.1747489191858
12,S1,symptom_based_TTI,0.2,4.0835545996919,8.3983101991551,1790.748,308.964,89.52,5879.592000000001,166.992,0.0,69.0301251632008,16.764475176525412
13,S1,symptom_based_TTI,0.2,3.7757224261629667,7.707423580786026,1803.24,320.16,89.868,5745.911999999999,148.26,0.0,60.55886229674961,15.071341113579575
14,S1,symptom_based_TTI,0.3,5.690243341307101,11.05073349633252,1764.468,316.596,90.084,5595.768,216.948,0.0,85.90452111873263,19.33262160472645
15,S1,symptom_based_TTI,0.3,5.073198303698712,10.095719381688466,1805.568,319.704,89.82000000000001,5964.96,203.772,0.0,80.38917912861156,20.985386309533652
16,S1,symptom_based_TTI,0.4,7.1472881457788,13.091124260355029,1734.504,299.664,89.088,5523.936000000001,265.488,0.0,98.15800543248046,22.382990971125423
17,S1,symptom_based_TTI,0.4,6.510350382141054,12.376226197345643,1806.504,317.08799999999997,89.268,5785.632,257.376,0.0,95.4781054537254,26.50864799926925
18,S1,symptom_based_TTI,0.5,8.161896841664158,15.497509339975094,1786.6799999999998,314.124,89.628,5719.08,298.668,0.0,112.36662694736893,29.005297120079536
19,S1,symptom_based_TTI,0.5,8.769091949887859,16.55266272189349,1762.872,309.61199999999997,89.592,5605.031999999999,335.688,0.0,125.36722246547811,32.483592790796195
20,S1,test_based_TTI,0.1,2.897252407682603,5.473653734800232,202.332,36.42,89.77199999999999,3219.768,113.436,0.0,44.68495364795957,8.708387455226118
21,S1,test_based_TTI,0.1,2.7285525759460585,5.44797507788162,181.428,37.391999999999996,89.976,2967.696,104.928,0.0,43.41044420551856,8.965633181760296
22,S1,test_based_TTI,0.2,4.0153575904626155,7.501569365976145,196.464,35.76,89.41199999999999,3112.8,143.4,0.0,54.83560389453974,11.806820406176913
23,S1,test_based_TTI,0.2,4.316772498836368,8.38895486935867,205.38,35.82,89.49600000000001,3245.88,169.524,0.0,69.03483651631234,13.255824827202282
24,S1,test_based_TTI,0.3,5.905527917084121,11.06820877817319,203.868,31.235999999999997,89.28,3175.3920000000003,223.93200000000002,0.0,88.03408624876815,16.41727293278595
25,S1,test_based_TTI,0.3,5.554265508132839,10.754497968659315,218.46,35.952,90.58800000000001,3440.088,222.35999999999999,0.0,88.96574336527483,18.554262988570684
26,S1,test_based_TTI,0.4,7.033532466898376,13.116113744075829,174.27599999999998,26.868,89.85600000000001,2897.88,265.68,0.0,105.37308402980169,17.835682320705107
27,S1,test_based_TTI,0.4,7.553555803745438,13.653169014084508,179.736,28.248,89.508,2943.0480000000002,279.17999999999995,0.0,106.0694359186854,18.65545500632799
28,S1,test_based_TTI,0.5,8.613545029363287,17.3290831815422,195.048,32.507999999999996,89.976,3107.304,342.49199999999996,0.0,145.99542557735768,26.25847046230638
29,S1,test_based_TTI,0.5,8.77069198506072,15.441902468392534,185.1,32.808,89.7,3008.376,307.788,0.0,109.45108478643559,23.519482567334446
30,S1,test_based_TTI_test_contacts,0.1,2.883874696640671,5.328988206083178,193.5,36.66,244.14,1132.5359999999998,103.02000000000001,0.0,39.009207013349275,8.259727351193249
31,S1,test_based_TTI_test_contacts,0.1,2.765632566507446,5.457949662369552,165.588,25.86,221.496,1088.856,106.69200000000001,0.0,45.32925241407606,7.300162175836334
32,S1,test_based_TTI_test_contacts,0.2,4.327140368111312,7.960845245494096,187.332,30.732,235.968,1133.016,153.708,0.0,57.43585559937353,12.723718173133213
33,S1,test_based_TTI_test_contacts,0.2,4.497135413029369,8.11310592459605,197.148,35.796,244.71599999999998,1156.44,162.684,0.0,60.36868875190032,12.138751946034724
34,S1,test_based_TTI_test_contacts,0.3,5.163139785480143,9.974908200734394,176.904,32.267999999999994,227.964,1103.1599999999999,195.588,0.0,79.50530000476344,14.843855081541914
35,S1,test_based_TTI_test_contacts,0.3,5.499679205017964,10.369449378330373,180.72,32.016,228.432,1126.968,210.168,0.0,83.09928372801485,15.601218144681186
36,S1,test_based_TTI_test_contacts,0.4,7.48918566776681,13.338912133891213,183.072,35.352,227.388,1129.008,267.792,0.0,96.44025621433187,20.998852319581943
37,S1,test_based_TTI_test_contacts,0.4,7.256323548721485,13.263814616755793,192.996,34.668,233.988,1153.368,267.876,0.0,100.82183406683609,20.505455543184954
38,S1,test_based_TTI_test_contacts,0.5,8.373064409030793,15.705150976909414,180.72,32.016,221.304,1126.968,318.312,0.0,124.7632837280149,23.843446829749254
39,S1,test_based_TTI_test_contacts,0.5,9.305858301378063,16.291868932038835,181.104,29.304,221.88,1099.8719999999998,322.188,0.0,114.91974855890403,23.235597673043625
40,S2,no_TTI,0.1,2.8357532861534818,5.427385892116183,0.0,0.0,0.0,828.984,109.872,16.163999999999998,36.3010104751089,2.1316282072803006e-17
41,S2,no_TTI,0.1,3.06257932208683,5.689006466784244,0.0,0.0,0.0,838.296,116.124,13.056,40.55463087756365,-7.993605777301126e-18
42,S2,no_TTI,0.2,4.328070580259864,7.760856632956574,0.0,0.0,0.0,802.2479999999999,156.552,14.687999999999999,54.55816025499804,-1.3455903058456897e-16
43,S2,no_TTI,0.2,4.490819286334987,8.104353011329756,0.0,0.0,0.0,829.6560000000001,163.09199999999998,15.336,57.38275268179476,-1.3322676295501879e-18
44,S2,no_TTI,0.3,6.208781297970433,10.612181479179615,0.0,0.0,0.0,815.352,204.9,13.776,71.24485069878685,-7.593925488436071e-17
45,S2,no_TTI,0.3,6.34404834109684,10.94031597425395,0.0,0.0,0.0,829.944,224.36399999999998,20.784,73.47625662078605,2.531308496145357e-17
46,S2,no_TTI,0.4,7.6569301944426575,13.70906949352179,0.0,0.0,0.0,830.256,279.336,28.464,94.85439035803643,2.078337502098293e-16
47,S2,no_TTI,0.4,7.823598066427849,14.415723270440251,0.0,0.0,0.0,822.6,275.052,34.236,91.54174889255661,-1.9984014443252817e-17
48,S2,no_TTI,0.5,8.711452688257086,15.594843462246777,0.0,0.0,0.0,830.784,304.848,23.951999999999998,110.60452284995046,-1.305622276959184e-16
49,S2,no_TTI,0.5,9.325820041577652,16.528195488721803,0.0,0.0,0.0,816.984,316.548,24.372,113.56789456370481,-7.860379014346108e-17
50,S2,symptom_based_TTI,0.1,2.252781575487736,5.3045045045045045,1626.168,251.85600000000002,89.376,5452.392,105.984,11.592,37.72896616056318,11.652457961191804
51,S2,symptom_based_TTI,0.1,2.4416090429976425,5.553409776704888,1665.624,266.196,89.46000000000001,5482.704,110.424,11.124,40.016847451749975,10.734198337284857
52,S2,symptom_based_TTI,0.2,3.606350348860793,8.151408450704226,1728.108,286.536,89.628,5509.871999999999,166.68,18.18,57.79985467187408,16.95749339462048
53,S2,symptom_based_TTI,0.2,3.409220057720119,7.723429951690822,1698.4199999999998,268.032,89.076,5298.912,153.48,11.196,58.21778171526423,16.318197297721543
54,S2,symptom_based_TTI,0.3,4.802431391792803,10.303398058252426,1643.748,246.216,89.376,5112.2880000000005,203.76,14.328000000000001,72.2500482653786,22.209068530526924
55,S2,symptom_based_TTI,0.3,4.874123795456024,11.093639575971732,1643.856,256.524,89.616,5447.16,226.04399999999998,18.971999999999998,82.31539033648684,25.441463207301254
56,S2,symptom_based_TTI,0.4,6.143503284044033,13.494328358208955,1613.844,251.964,89.868,5371.512,271.236,26.568,91.30170449833275,29.88187949238216
57,S2,symptom_based_TTI,0.4,5.69684387828835,12.846693973083674,1636.0439999999999,266.148,88.92,5193.096,263.46,20.208,97.16830846726005,29.252817276802535
58,S2,symptom_based_TTI,0.5,6.486105716769492,15.639655172413793,1754.3999999999999,284.544,89.41199999999999,5705.712,326.556,24.768,128.50708061613528,37.851032017717856
59,S2,symptom_based_TTI,0.5,7.153507760628763,15.716400236826525,1680.936,273.744,90.48,5638.512,318.54,18.336,118.23978595000662,36.97691875756965
60,S2,test_based_TTI,0.1,2.320693984996949,5.306936416184971,186.33599999999998,28.968,89.676,3026.472,110.172,12.684000000000001,40.07381418975787,9.236578681705405
61,S2,test_based_TTI,0.1,2.3799150497058243,5.181331747919144,162.312,25.656,89.85600000000001,2705.112,104.58000000000001,12.612,36.18296098827695,7.7488336484605895
62,S2,test_based_TTI,0.2,3.5901419595762314,7.829524397776405,185.868,31.415999999999997,90.6,3000.408,152.112,15.276,53.986651271469,13.100070737883938
63,S2,test_based_TTI,0.2,3.666903863038692,7.705223880597015,172.464,27.204,89.83200000000001,2814.504,148.68,16.128,49.187428240873,12.607994817932461
64,S2,test_based_TTI,0.3,4.939541846692337,10.278290993071593,192.84,28.428,89.47200000000001,3071.496,213.624,17.496000000000002,74.44483709942241,19.01972515892411
65,S2,test_based_TTI,0.3,5.223388016505097,10.58488302339532,185.628,31.788000000000004,89.568,2967.768,211.74,15.0,74.0698326177116,18.18151350012045
66,S2,test_based_TTI,0.4,6.648857377104681,13.642775229357799,195.31199999999998,29.544,88.128,3101.016,285.516,27.66,95.0553151212381,23.653397690715195
67,S2,test_based_TTI,0.4,6.547019264004059,13.940433212996389,178.84799999999998,30.42,89.84400000000001,2889.912,278.028,28.632,95.58939808974125,23.23284970896177
68,S2,test_based_TTI,0.5,7.7671747644011395,15.140412979351032,175.03199999999998,29.555999999999997,89.076,2845.5119999999997,307.956,18.192,105.28192083580171,26.497744456279158
69,S2,test_based_TTI,0.5,7.939332929135065,16.352699530516432,186.564,28.008,89.736,2991.792,334.38,31.62,111.72369405059958,28.692826214446704
70,S2,test_based_TTI_test_contacts,0.1,2.451832724443027,5.216556688662267,186.396,31.428000000000004,236.73600000000002,1142.184,104.352,10.188,36.447553381170934,8.669984799070647
71,S2,test_based_TTI_test_contacts,0.1,2.4855407288960714,5.482758620689655,188.67600000000002,35.16,238.07999999999998,1153.008,106.848,12.456,37.156271225961,8.797511049312229
72,S2,test_based_TTI_test_contacts,0.2,3.6395442536689697,8.16045673076923,173.208,25.596,222.17999999999998,1106.256,162.948,17.076,60.48348776317571,12.714092579562296
73,S2,test_based_TTI_test_contacts,0.2,3.7262183771613615,8.410271903323263,177.264,23.316,224.22,1105.632,167.028,21.875999999999998,58.55504497360832,12.594258055967016
74,S2,test_based_TTI_test_contacts,0.3,5.279863608368644,11.122150789012274,191.832,33.132000000000005,231.108,1174.296,228.36,21.192,78.3183991346198,20.4434412583553
75,S2,test_based_TTI_test_contacts,0.3,5.025952391250254,10.398929845422117,174.936,26.064,219.25199999999998,1109.568,209.89200000000002,21.972,69.82102326342368,16.655153671581218
76,S2,test_based_TTI_test_contacts,0.4,6.166829152139489,13.408088235294118,172.88400000000001,22.092000000000002,212.58,1094.3999999999999,262.584,34.187999999999995,87.27615878114234,20.34865910335784
77,S2,test_based_TTI_test_contacts,0.4,6.745736726291965,13.43524541691307,175.75199999999998,33.480000000000004,214.87199999999999,1096.5120000000002,272.628,20.508,92.50654046713551,22.728969882948217
78,S2,test_based_TTI_test_contacts,0.5,7.72729461292543,15.454867256637169,174.756,29.064,210.39600000000002,1117.416,314.35200000000003,15.108,113.82661495159242,28.244212621504282
79,S2,test_based_TTI_test_contacts,0.5,7.744503743797394,16.4364406779661,192.732,24.468,225.62400000000002,1147.848,325.836,33.42,111.23185497968447,27.657102803276082
80,S3,no_TTI,0.1,2.3453419794195387,5.304580606781678,0.0,0.0,0.0,839.904,107.004,29.772,29.921761591149043,-2.9309887850104134e-17
81,S3,no_TTI,0.1,2.3041677218197347,5.19281663516068,0.0,0.0,0.0,811.128,98.89200000000001,24.18,30.83142990566496,-3.9968028886505634e-17
82,S3,no_TTI,0.2,3.5179658961139477,8.219161676646706,0.0,0.0,0.0,862.1519999999999,164.71200000000002,43.776,50.43596344187654,-2.6645352591003756e-17
83,S3,no_TTI,0.2,3.8272369765246577,8.322977725674091,0.0,0.0,0.0,823.128,170.388,44.544,47.49280461658726,-3.4638958368304884e-17
84,S3,no_TTI,0.3,5.040278027827839,10.323910482921084,0.0,0.0,0.0,818.088,210.35999999999999,51.108,56.55129490498,-7.194245199571015e-17
85,S3,no_TTI,0.3,4.712627747544243,10.173568818514008,0.0,0.0,0.0,812.688,200.46,46.908,60.69438286238825,7.460698725481052e-17
86,S3,no_TTI,0.4,5.997773423864902,12.641297935103244,0.0,0.0,0.0,812.784,257.124,58.728,76.40128855858791,-3.4638958368304884e-17
87,S3,no_TTI,0.4,6.377612658460253,13.8735701384708,0.0,0.0,0.0,817.4159999999999,276.52799999999996,70.72800000000001,78.68142449157027,4.662936703425657e-17
88,S3,no_TTI,0.5,7.871406541902479,16.760423148724332,0.0,0.0,0.0,809.232,323.208,75.804,95.61179624595263,-2.9309887850104134e-17
89,S3,no_TTI,0.5,7.626765637393957,15.354268292682926,0.0,0.0,0.0,803.3040000000001,302.172,61.367999999999995,90.70925225608693,3.4638958368304884e-17
90,S3,symptom_based_TTI,0.1,1.8863679151682389,5.421387283236994,1399.476,205.548,89.46000000000001,4700.208,112.548,32.832,30.781957020717027,9.773045060390276
91,S3,symptom_based_TTI,0.1,1.8857408196696908,5.275798525798526,1360.056,191.148,90.792,4316.447999999999,103.068,30.528000000000002,27.574484956564245,8.125682390368663
92,S3,symptom_based_TTI,0.2,2.8336140438192516,7.920955882352941,1425.456,206.628,90.15599999999999,4709.592000000001,155.124,40.068,43.451831431577745,16.110671134265957
93,S3,symptom_based_TTI,0.2,2.808688643110981,8.581039755351682,1353.936,211.932,89.448,4556.447999999999,168.36,47.532000000000004,49.237784451282295,16.483744370880267
94,S3,symptom_based_TTI,0.3,3.7084062012156083,10.564239194789817,1339.02,198.876,90.468,4548.552000000001,214.11599999999999,47.556,69.4032630198162,21.99476009394577
95,S3,symptom_based_TTI,0.3,4.03210799168522,10.331927710843374,1355.22,197.928,89.136,4552.3679999999995,205.812,44.124,58.43966399359467,22.928744812035728
96,S3,symptom_based_TTI,0.4,5.123435598879358,13.306184935701163,1326.216,187.464,90.0,4498.9439999999995,260.748,52.8,79.05158216499579,28.497573839364307
97,S3,symptom_based_TTI,0.4,5.143166606573023,12.61470065204505,1331.172,196.07999999999998,88.548,4375.992,255.37199999999999,51.012,73.30960670984217,26.932128506693587
98,S3,symptom_based_TTI,0.5,6.367959602488244,15.68564506359782,1344.564,194.256,89.43599999999999,4384.752,310.764,68.724,84.11046057834727,31.767523777155574
99,S3,symptom_based_TTI,0.5,5.778820131062313,15.573719925971622,1322.292,194.472,89.49600000000001,4242.12,302.94,69.98400000000001,90.1723064043733,30.374084406202634
100,S3,test_based_TTI,0.1,1.9700298821894915,5.256936067551266,144.096,25.32,89.556,2477.16,104.592,26.364,31.982140014982118,7.050145448975699
